,label
"A crucial problem in the design of spoken dialogue systems is to decide for incoming recognition hypotheses whether a system should accept (consider correctly recognized), reject (assume misrecognition), or ignore (classify as noise or speech not directed to the system) them. In addition, a more sophisticated dialogue system might decide whether to clarify or confirm certain hypotheses.Obviously, incorrect decisions at this point can have serious negative effects on system usability and user satisfaction. On the one hand, accepting misrecognized hypotheses leads to misunderstandings and unintended system behaviors which are usually difficult to recover from. On the other hand, users might get frustrated with a system that behaves too cautiously and rejects or ignores too many utterances. Thus an important feature in dialogue system engineering is the tradeoff between avoiding task failure (due to misrecognitions) and promoting overall dialogue efficiency, flow, and naturalness.In this paper, we investigate the use of machine learners trained on a combination of acoustic confidence and pragmatic plausibility features (i.e. computed from dialogue context) to predict the quality of incoming n-best recognition hypotheses to a spoken dialogue system. These predictions are then used to select a ""best"" hypothesis and to decide on appropriate system reactions. We evaluate this approach in comparison with a baseline system that combines fixed recognition confidence rejection thresholds with dialogue-state dependent recognition grammars.The paper is organized as follows. After a short relation to previous work, Section 3 introduces the WITAS multimodal dialogue system, which we use to collect data (Section 4) and to derive baseline results (Section 5). Section 6 describes our learning experiments for classifying and selecting from nbest recognition hypotheses and Section 7 reports our results.",
Conclusion:,
"We used a combination of acoustic confidence and pragmatic plausibility features (i.e. computed from dialogue context) to predict the quality of incoming recognition hypotheses to a multi-modal dialogue system. We classified hypotheses as accept, (clarify), reject, or ignore: functional categories that can be used by a dialogue manager to decide appropriate system reactions. The approach is novel in combining machine learning with n-best processing for spoken dialogue systems using the Information State Update approach.Our best results, obtained using TiMBL with optimized parameters, show a 25% weighted f-score improvement over a baseline system that uses a ""grammar-switching"" approach to context-sensitive speech recognition, and are only 8% away from the optimal performance that can be achieved on the data. Clearly, this improvement would result in better dialogue system performance overall. Parameter optimization improved the classification results by 9% compared to using the learner with default settings, which shows the importance of such tuning.Future work points in two directions: first, integrating our methodology into working ISU-based dialogue systems and determining whether or not they improve in terms of standard dialogue evaluation metrics (e.g. task completion). The ISU approach is a particularly useful testbed for our methodology because it collects information pertaining to dialogue context in a central data structure from which it can be easily extracted. This avenue will be further explored in the TALK project 8 . Second, it will be interesting to investigate the impact of different dialogue and task features for classification and to introduce a distinction between ""generic"" features that are domain independent and ""application-specific"" features which reflect properties of individual systems and application scenarios.",
,
Title 1: Using Acoustic Confidence and Pragmatic Plausibility to Classify N-Best Recognition Hypotheses to a Multi-Modal Dialogue System,
Title 2: Context-Sensitive Speech Recognition in Spoken Dialogue Systems,2
,
,
ID: 299,
Abstract:,
"As the volume of documents on the Web increases , technologies to extract useful information from them become increasingly essential. For instance, information extracted from social network services such as Twitter and Facebook is useful because it contains a lot of location-specific information. To extract such information, it is necessary to identify the location of each location-relevant expression within a document. Previous studies on location disambiguation have tackled this problem on the basis of word sense disambigua-tion, and did not make use of location-specific clues. In this paper, we propose a method for location disambiguation that takes advantage of the following two clues: spatial proximity and temporal consistency. We confirm the effectiveness of these clues through experiments on Twitter tweets with GPS information.",
Introduction:,
"As the volume of documents on the Web increases, technologies to extract useful information from them become increasingly essential. For instance, information extracted from social network services (SNS) such as Twitter and Facebook is useful because it contains a lot of location-specific information. To extract such information, it is necessary to identify the location of each location-relevant expression within a document.However, many previous studies on SNS rely only on geo-tagged documents (e.g.,), which include GPS information, but these represent only a small proportion of the total. To extract as much location information as possible, it is important to develop a method that can estimate locations from numerous documents without GPS information.Previous studies on location disambiguation made use of methods for word sense disambiguation and are based only on textual information, i.e., the bagof-words in a document. It is, however, difficult to solve this problem using only textual information in a relatively short SNS document. For example, it is difficult to identify the location of ""Prefectural Office Ave."" from the following document based only on word information. ""I arrived at Prefectural Office Ave. from Shuri Station!""In this paper, we propose a method that identifies the locations of location expressions in Twitter tweets on the basis of the following two clues: (1) spatial proximity, and (2) temporal consistency. Spatial proximity assumes that all locations mentioned in a tweet are close to one another. In the above document, for example, we would assume that ""Prefectural Office Ave."" is ""Prefectural Office Ave. (Okinawa)"" using the proximity between ""Shuri Station"" and ""Prefectural Office Ave. (Okinawa)"" The other clue is temporal consistency, Semiocast reported that GPS information is assigned to only 0.77% of all public tweets. Although it is possible to learn a clue from ""Shuri Station,"" which is located in Okinawa Prefecture, it would require a large amount of training data to learn such lexical clues for each target location expression.1 which assumes that the locations in a series of tweets are near to each other.In our experiments, we learn a location classifier for each ambiguous location expression in Japanese. Hereafter, we call an ambiguous location expression, such as ""Prefectural Office Ave.,"" a Location EXpression (LEX), and a location to which a LEX points, such as <Prefectural Office Ave. (Okinawa)>, a Location Entity (LE), which is linked to its GIS information. We calla LEX linked to multiple LEs an ambiguous LEX, which is the target of our location name disambiguation system. That is unambiguous LEXs are not our target, such as ""Tokyo Tower,"" which points the LE <Tokyo Tower>.We define a set of LEXs and LEs on the basis of Japanese Wikipedia. Training data for the location classifiers are created from tweets containing GPS information. The resulting location classifiers can be applied to LEXs in any tweets or documents without GPS information.Our novel contributions can be summarized as follows:• two novel clues for location disambiguation are proposed, • training data is automatically created from tweets with GPS information, and • our method can identify LEs of LEXs in any documents without GPS information.The remainder of this paper is organized as follows. Section 2 introduces related work, while Section 3 describes the resources used in this paper. Section 4 details our proposed method and Section 5 reports the experimental results. Section 6 concludes the paper.",
Conclusion:,
"In this paper, we presented a method for location name disambiguation for text snippets on SNS. We considered both the spatial proximity and temporal consistency to produce the estimates of LEs. As a result, our method substantially outperformed the baseline method that considers only lexical information. More specifically:• Considering the spatial proximity improves the accuracy• Considering the temporal consistency with many tweets improves the accuracy• Considering both of the above outperforms the baseline by 7.13%In future work, first, we plan to further investigate the cause of the decrease inaccuracy when the temporal consistency feature considers many tweets.Second, in this paper, only tweets including unambiguous LEXs are used to calculate the proximity feature for the target LEX. However, tweets including ambiguous LEXs could also be used if the LEXs have been disambiguated in advance.In addition, we estimated the LEs of ambiguous LEXs, although the location estimation has several problems. One concerns whether the user posting the tweet including the LEX is actually at that location. Solving this problem is necessary for some applications specializing in GIS information. In future work, we aim to solve this problem using the proposed spatial proximity and temporal consistency.",
,
Title 1: Location Disambiguation Using Spatial Clustering and Temporal Consistency,
Title 2: Location Disambiguation Using Spatial and Temporal Clues,2
,
,
ID: 1493,
Abstract:,
"We present a holistic data-driven approach to image description generation, exploiting the vast amount of (noisy) parallel image data and associated natural language descriptions available on the web. More specifically, given a query image, we retrieve existing human-composed phrases used to describe visually similar images, then selectively combine those phrases to generate a novel description for the query image. We cast the generation process as constraint optimization problems, collectively incorporating multiple interconnected aspects of language composition for content planning, surface realization and discourse structure. Evaluation by human annotators indicates that our final system generates more semantically correct and linguistically appealing descriptions than two nontrivial baselines.",
Introduction:,
"Automatically describing images in natural language is an intriguing, but complex AI task, requiring accurate computational visual recognition, comprehensive world knowledge, and natural language generation. Some past research has simplified the general image description goal by assuming that relevant text for an image is provided (e.g.,, ). This allows descriptions to be generated using effective summarization techniques with relatively surface level image understanding. However, such text (e.g., news articles or encyclopedic text) is often only loosely related to an image's specific content and many natural images do not come with associated text for summarization.In contrast, other recent work has focused more on the visual recognition aspect by detecting content elements (e.g., scenes, objects, attributes, actions, etc) and then composing descriptions from scratch (e.g.,, ,, ), or by retrieving existing whole descriptions from visually similar images (e.g.,,). For the latter approaches, it is unrealistic to expect that there will always exist a single complete description for retrieval that is pertinent to a given query image. For the former approaches, visual recognition first generates an intermediate representation of image content using a set of English words, then language generation constructs a full description by adding function words and optionally applying simple re-ordering. Because the generation process sticks relatively closely to the recognized content, the resulting descriptions often lack the kind of coverage, creativity, and complexity typically found in humanwritten text.In this paper, we propose a holistic datadriven approach that combines and extends the best aspects of these previous approaches -a) using visual recognition to directly predict individual image content elements, and b) using retrieval from existing human-composed descriptions to generate natural, creative, and inter-esting captions. We also lift the restriction of retrieving existing whole descriptions by gathering visually relevant phrases which we combine to produce novel and query-image specific descriptions. By judiciously exploiting the correspondence between image content elements and phrases, it is possible to generate natural language descriptions that are substantially richer in content and more linguistically interesting than previous work.At a high level, our approach can be motivated by linguistic theories about the connection between reading activities and writing skills, i.e., substantial reading enriches writing skills, (e.g.,,). Analogously, our generation algorithm attains a higher level of linguistic sophistication by reading large amounts of descriptive text available online. Our approach is also motivated by language grounding by visual worlds (e.g.,,,), as in our approach the meaning of a phrase in a description is implicitly grounded by the relevant content of the image.Another important thrust of this work is collective image-level content-planning, integrating saliency, content relations, and discourse structure based on statistics drawn from a large image-text parallel corpus. This contrasts with previous approaches that generate multiple sentences without considering discourse flow or redundancy (e.g., ). For example, for an image showing a flock of birds, generating a large number of sentences stating the relative position of each bird is probably not useful.Content planning and phrase synthesis can be naturally viewed as constraint optimization problems. We employ Integer Linear Programming (ILP) as an optimization framework that has been used successfully in other generation tasks (e.g.,,, ). Our ILP formulation encodes a rich set of linguistically motivated constraints and weights that incorporate multiple aspects of the generation process. Empirical results demonstrate that our final system generates linguistically more appealing and semantically more correct descriptions than two nontrivial baselines.",
Conclusion:,
The results described in this paper show that the LetsMT! project is on track to fulfill its goal to democratise the creation and usage of custom SMT systems. demonstrates that the open source SMT toolkit Moses is reaching maturity to serve as abase for large scale and heavy use production purposes. The architecture of the platform and Resource Repository enables scalability of the system and very large amounts of data to be handled in a variety of formats. Evaluation shows a strong increase in translation productivity by using LetsMT!,
,
Title 1: A Holistic Data-Driven Approach to Image Description Generation,0
Title 2: A Holistic Data-Driven Approach to Image Description Generation,
,
,
ID: 965,
Abstract:,
"Originating from a multidisciplinary research project that gathers,",
Introduction:,
"In parallel with the Semantic Web's extremely active research community lies a continuous and exceptionally rising propagation of the Social Web. A remarkable advancement can be made if a proper methodology for maximizing the cooperation between the two webs can beset. Such a methodology should highly encourage the first Web to bring in its theories and formalisms to the second, in exchange for some of the latter's popularity and proliferation.An amplified fusion between the Social and the Semantic Webs is indeed a strongly beneficial achievement to both disciplines. It shall solve the foremost problems undergone by each of them, yielding an outcome that by far surpasses the sum of its individual components by endorsing automation, standardization and interoperability, promoting efficient information extraction, querying and aggregations, and providing valuable large data sets to feed the Semantic Web applications from the abundant social networking Web 2.0 sites (SNS). These sites will successively benefit from Semantic Web applications to generate semantically-rich data, and an overall reflection of the henceforth strongly formalized Social Web's network effect on the Semantic Web, boosting its formerly limited usage (.By delving into the Semantic Web's main achievements for Social Networking (SN), this research notices alack in those involving the Semantic Web's advanced findings and relatively complicated vocabularies and grammars, particularly in the endeavors related to OWL 2 (Web Ontology Language) novelties. In addition, it recognizes the major limitations and concerns related to complexity and accuracy when dealing with ontology-aware Natural Language Processing for large amounts of data.As a consequence, it proposes a promising flexible and multidimensional user and NLPassisted workflow for social data management encompassing different strategies varying according to prerequisite constraints and concerns. On the other hand, it confers a Web 2.0 user collaboration novelty residing in promoting SN users ""rule tagging"" assignments that are initiated on account of domain-specific semantic arrangements in the knowledge base repository. Section 3 presents a very brief overview of the enclosing knowledge framework and platform; in Section 4, the user and NLP-assisted workflow is portrayed and analyzed; Section 5 exposes OWL 2-supported demonstrating scenarios that endow with recommender systems based on an ontology for childhood obesity surveillance. We finally wrap up with a conclusions section that comprises a closing discussion and highlights on future work.",
Conclusion:,
"Apart from providing a maximal set of consistent and accurate semantics, fostering such a user and NLP-assisted workflow can prove to be advantageous at many levels. We can underline a few extra issues, by considering for example the ""Open World Assumption"" which is evidently appropriate for the context of textual blog information dealt within this research: a statement or fact not explicitly mentioned in a blog does not disprove its existence. Nevertheless, to deal with certain critical rules and axioms, for which the availability of accurate data is deemed much more valuable for our working framework, an exclusive approach can be embraced in order to possibly ""close the world"" related to these critical facts. Closing axioms can be identified in our backbone repository, and presented to the user, inviting them to key in their exact input. Furthermore, the intensional reasoning required in any application involving natural language processing presents DL-safety restrictions, due to conclusions referring to unnamed objects. By offering this user rule tagging facility, we can limit the effects of such constraints. In all cases, relying on a collective effort through which rules and semantics are gathered and validated, before becoming instance and ontology enrichment elements is a much more profitable and effective approach.A well-populated knowledge base, henceforth enriched with semantically engineered social data, is consequently accessible for further extensive reasoning and analysis. The outcome reached surpasses by far the sum of its social and semantic data components, typically leading to significant services and recommender systems.Taking into consideration the applicable involved reasoning, the opportunity of identifying, creating and expanding social and semantic networks is presented. Implemented algorithms allow opinion mining, detection of ties and similarities between people, leading to connections via shared interests or any possible common ground areas. For instance, semantic networks are initiated based on the algorithms' ability to retrieve people with same or similar goals, tastes, origins, backgrounds, etc., and to further apply advanced reasoning with the intention of providing suggestions, recommendations, possible solutions, feedbacks, openings, and soon.",
,
Title 1: A User and NLP-assisted Workflow for Social Data Management,
Title 2: A Report on the 7th Workshop on Computational Linguistics and Clinical Psychology: From Linguistic Signal to Clinical Text,-1
,
,
ID: 1918,
Abstract:,
"This software demonstration presents WebLicht (short for: Web-Based Linguistic Chaining Tool), a web-based service environment for the integration and use of language resources and tools (LRT). WebLicht is being developed as part of the D-SPIN project 1. We-bLicht is implemented as a web application so that there is no need for users to install any software on their own computers or to concern themselves with the technical details involved in building tool chains. The integrated web services are part of a prototypical infrastructure that was developed to facilitate chaining of LRT services. WebLicht allows the integration and use of distributed web services with standardized APIs. The nature of these open and standardized APIs makes it possible to access the web services from nearly any programming language, shell script or workflow engine (UIMA, Gate etc.) Additionally, an application for integration of additional services is available, allowing anyone to contribute his own web service.",
Introduction:,
"Currently, WebLicht offers LRT services that were developed independently at the Institut für Informatik, Abteilung Automatische Sprachverarbeitung at the University of Leipzig (tokenizer, lemmatizer, co-occurrence extraction, and frequency analyzer), at the Institut für Maschinelle Sprachverarbeitung at the University of Stuttgart (tokenizer, tagger/lemmatizer, German morphological analyser SMOR, constituent and dependency parsers), at the Berlin Brandenburgische Akademie der Wissenschaften (conversion of plain text to D-Spin format, tokenizer, taggers, NE recog-",
Conclusion:,
"In this paper we have described the functionality of GernEdiT. The extremely positive feedback of the GermaNet lexicographers underscores the practical benefits gained by using the GernEdiT tool in practice.At the moment, GernEdiT is customized for maintaining the GermaNet data. In future work, we plan to adapt the tool so that it can be used with wordnets for other languages as well. This would mean that the wordnet data fora given language would have to be stored in a relational database and that the tool itself can handle the language specific data structures of the wordnet in question.Deutsche Rechtschreibung -Regeln und Wörterverzeichnis: Amtliche Regelung.",
,
Title 1: WebLicht: Web-Based Linguistic Chaining Tool,2
Title 2: WebLicht: A Web-based Linguistic Chaining Tool,
,
,
ID: 361,
Abstract:,
"The paper introduces anew annotation of discourse relations in the Prague Dependency Treebank (PDT), i.e. the annotation of the so called secondary connectives (mainly multiword phrases like the condition is, that is the reason why, to conclude, this means etc.). Firstly, the paper concentrates on theoretical introduction of these expressions (mainly with respect to primary connectives like and, but, or, too etc.) and tries to contribute to the description and definition of discourse connectives in general (both primary and secondary). Secondly, the paper demonstrates possibilities of annotations of secondary connectives in large corpora (like PDT). The paper describes general annotation principles for secondary connectives used in PDT for Czech and compares the results of this annotation with annotation of primary connectives in PDT. In this respect, the main aim of the paper is to introduce anew type of discourse annotation that could be adopted also by other languages.",
Introduction:,
"In the paper, we introduce anew annotation of discourse relations in the Prague Dependency Treebank (PDT) enriched by the so called secondary connectives (i.e. especially by the multiword phrases like hlavním důvodem je ""the main reason is"", závěr zní ""the conclusion is"", to kontrastuje s tím ""this contrasts with"" etc.).We present how it is possible to annotate such variable (i.e. inflectional and modifiable) structures on big data according to general annotation principles. We believe that our methods maybe used also for other languages to enrich the discourse annotations of similar corpora.",
Conclusion:,
"In the paper, we have introduced the annotation of the so called secondary connectives (i.e. expressions like the condition is, to conclude, for these reasons etc.).From theoretical point of view, we define discourse connectives as (mostly) universal indicators of discourse relations that may have different surface forms. According of their realization, we distinguish primary and secondary connectives. Primary connectives are expressions with universal status of discourse indicators that are grammaticalized (i.e. lexically frozen). They are functional words (i.e. mainly conjunctions and structuring particles) that are not integrated into clause structure as sentence elements like but, and, or, because etc. Secondary connectives are mainly multiword phrases containing a lexical word or words that are not yet fully grammaticalized; therefore, these structures are much more variable (concerning modification, inflexion etc.). The secondary connectives maybe sentence elements (because of this), sentence modifiers (simply speaking) or they form a separate sentence (The reason is simple.).In the paper, we demonstrated how it is possible to include secondary connectives into corpus annotations. The overall inter-annotator agreement on existence of a discourse relation is 0.70 (F1) and on the type of a discourse relation 0.82 (0.78 C. k.), which is very similar to primary connectives in PDT.Altogether, PDT contains 1,161 tokens of secondary connectives, which is 5.4 % within all explicit discourse connectives in PDT (thus the attribute secondary seems suitable for them also in terms of frequency).We have compared primary and secondary connectives also in terms of semantic types of discourse relations they express. The distribution of the individual semantic relations is very similar for both primary and secondary connectives (with some exceptions like the relation of opposition occurring very predominantly with primary connectives). However, the annotation has taught us that the classification of relations formulated for primary connectives cannot be simply adopted for secondary connectives -during the annotation, we have observed three ""new"" semantic types (that were not included into the classification for primary connectives): a) entailment or deduction of results (e.g. it follows); b) the relation of conclusion (e.g. the conclusion is); c) the relation of regard (e.g. in this respect). These three types of relation refer mostly to larger pieces of text like a whole paragraph.The results of annotation also demonstrate that primary and secondary connectives differ in terms of inter-and intra-sentential relations. Whereas primary connectives prefer the intrasentential relations (in 70 %), secondary connectives mostly the inter-sentential relations (in 63 %). So primary and secondary connectives do not differ only from syntactic, lexical and semantic point of view, but also in the way how they structure the text.At the current stage, the Prague Dependency Treebank contains the most detailed annotation of secondary connectives (as far as we know, done on the largest data) that could be adopted also for other languages in other corpora focusing mostly on the annotation of primary connectives. In the paper, we tried to demonstrate that discourse annotation including secondary connectives is more complete and that similar analysis may lead to better understanding of discourse.",
,
Title 1: Annotating Discourse Relations in the Prague Dependency Treebank,1
Title 2: Annotating secondary connectives in the Prague Dependency Treebank,
,
,
ID: 1535,
Abstract:,
"Lexical Simplification is the task of modifying the lexical content of complex sentences in order to make them simpler. Due to the lack of reliable resources available for the task, most existing approaches have difficulties producing simplifications which are grammatical and that preserve the meaning of the original text. In order to improve on the state-of-the-art of this task, we propose user studies with non-native speakers, which will result in new, sizeable datasets, as well as novel ways of performing Lexical Simplification. The results of our first experiments show that new types of classifiers, along with the use of additional resources such as spoken text language models , produce the state-of-the-art results for the Lexical Simplification task of SemEval-2012.",
Introduction:,
"Lexical Simplification (LS) is often perceived as the simplest of all Text Simplification sub-tasks. Its goal is to replace the complex words and expressions of a given sentence with simpler alternatives of equivalent meaning. However, this is a very challenging task as the substitution must preserve both original meaning and grammaticality of the sentence being simplified.However, this is a very challenging task as the substitution needs to ensure grammaticality and meaning preservation. Most LS strategies in the literature are structured according to the pipeline illustrated in, which is an adaptation of the one proposed by). In this thesis, we intend to identify and address the major limitations of the approaches in the literature with respect to each step of the LS pipeline of. In an effort to create new reliable datasets for LS and to unveil information about the needs of those who can most benefit from Text Simplification, we propose new user studies with non-native speakers. We also present novel modelling strategies for each step of the LS pipeline with respect to the limitations of the approaches in the literature.",
Conclusion:,
The model is able to predict the safest path between 2 locations to a very high degree of accuracy. The accuracy of the model depends on the correct classification of the article as crime/non crime and on the correct identification of crime's location from article. Clearly the model achieves both of these with very high degrees of accuracy as can be seen from. The model also maps this safest path correctly on the map and informs the user of the route he should opt for to avoid crime prone regions.,
,
Title 1: Improving Lexical Simplification for Non-Native Speakers,
Title 2: User Studies for Lexical Simplification with Non-Native Speakers,2
