,label,
"A crucial problem in the design of spoken dialogue systems is to decide for incoming recognition hypotheses whether a system should accept (consider correctly recognized), reject (assume misrecognition), or ignore (classify as noise or speech not directed to the system) them. In addition, a more sophisticated dialogue system might decide whether to clarify or confirm certain hypotheses.Obviously, incorrect decisions at this point can have serious negative effects on system usability and user satisfaction. On the one hand, accepting misrecognized hypotheses leads to misunderstandings and unintended system behaviors which are usually difficult to recover from. On the other hand, users might get frustrated with a system that behaves too cautiously and rejects or ignores too many utterances. Thus an important feature in dialogue system engineering is the tradeoff between avoiding task failure (due to misrecognitions) and promoting overall dialogue efficiency, flow, and naturalness.In this paper, we investigate the use of machine learners trained on a combination of acoustic confidence and pragmatic plausibility features (i.e. computed from dialogue context) to predict the quality of incoming n-best recognition hypotheses to a spoken dialogue system. These predictions are then used to select a ""best"" hypothesis and to decide on appropriate system reactions. We evaluate this approach in comparison with a baseline system that combines fixed recognition confidence rejection thresholds with dialogue-state dependent recognition grammars.The paper is organized as follows. After a short relation to previous work, Section 3 introduces the WITAS multimodal dialogue system, which we use to collect data (Section 4) and to derive baseline results (Section 5). Section 6 describes our learning experiments for classifying and selecting from nbest recognition hypotheses and Section 7 reports our results.",,
Conclusion:,,
"We used a combination of acoustic confidence and pragmatic plausibility features (i.e. computed from dialogue context) to predict the quality of incoming recognition hypotheses to a multi-modal dialogue system. We classified hypotheses as accept, (clarify), reject, or ignore: functional categories that can be used by a dialogue manager to decide appropriate system reactions. The approach is novel in combining machine learning with n-best processing for spoken dialogue systems using the Information State Update approach.Our best results, obtained using TiMBL with optimized parameters, show a 25% weighted f-score improvement over a baseline system that uses a ""grammar-switching"" approach to context-sensitive speech recognition, and are only 8% away from the optimal performance that can be achieved on the data. Clearly, this improvement would result in better dialogue system performance overall. Parameter optimization improved the classification results by 9% compared to using the learner with default settings, which shows the importance of such tuning.Future work points in two directions: first, integrating our methodology into working ISU-based dialogue systems and determining whether or not they improve in terms of standard dialogue evaluation metrics (e.g. task completion). The ISU approach is a particularly useful testbed for our methodology because it collects information pertaining to dialogue context in a central data structure from which it can be easily extracted. This avenue will be further explored in the TALK project 8 . Second, it will be interesting to investigate the impact of different dialogue and task features for classification and to introduce a distinction between ""generic"" features that are domain independent and ""application-specific"" features which reflect properties of individual systems and application scenarios.",,
,,
Title 1: Using Acoustic Confidence and Pragmatic Plausibility to Classify N-Best Recognition Hypotheses to a Multi-Modal Dialogue System,1,2 is too unspecific
Title 2: Context-Sensitive Speech Recognition in Spoken Dialogue Systems,,
,,
,,
ID: 299,,
Abstract:,,
"As the volume of documents on the Web increases , technologies to extract useful information from them become increasingly essential. For instance, information extracted from social network services such as Twitter and Facebook is useful because it contains a lot of location-specific information. To extract such information, it is necessary to identify the location of each location-relevant expression within a document. Previous studies on location disambiguation have tackled this problem on the basis of word sense disambigua-tion, and did not make use of location-specific clues. In this paper, we propose a method for location disambiguation that takes advantage of the following two clues: spatial proximity and temporal consistency. We confirm the effectiveness of these clues through experiments on Twitter tweets with GPS information.",,
Introduction:,,
"As the volume of documents on the Web increases, technologies to extract useful information from them become increasingly essential. For instance, information extracted from social network services (SNS) such as Twitter and Facebook is useful because it contains a lot of location-specific information. To extract such information, it is necessary to identify the location of each location-relevant expression within a document.However, many previous studies on SNS rely only on geo-tagged documents (e.g.,), which include GPS information, but these represent only a small proportion of the total. To extract as much location information as possible, it is important to develop a method that can estimate locations from numerous documents without GPS information.Previous studies on location disambiguation made use of methods for word sense disambiguation and are based only on textual information, i.e., the bagof-words in a document. It is, however, difficult to solve this problem using only textual information in a relatively short SNS document. For example, it is difficult to identify the location of ""Prefectural Office Ave."" from the following document based only on word information. ""I arrived at Prefectural Office Ave. from Shuri Station!""In this paper, we propose a method that identifies the locations of location expressions in Twitter tweets on the basis of the following two clues: (1) spatial proximity, and (2) temporal consistency. Spatial proximity assumes that all locations mentioned in a tweet are close to one another. In the above document, for example, we would assume that ""Prefectural Office Ave."" is ""Prefectural Office Ave. (Okinawa)"" using the proximity between ""Shuri Station"" and ""Prefectural Office Ave. (Okinawa)"" The other clue is temporal consistency, Semiocast reported that GPS information is assigned to only 0.77% of all public tweets. Although it is possible to learn a clue from ""Shuri Station,"" which is located in Okinawa Prefecture, it would require a large amount of training data to learn such lexical clues for each target location expression.1 which assumes that the locations in a series of tweets are near to each other.In our experiments, we learn a location classifier for each ambiguous location expression in Japanese. Hereafter, we call an ambiguous location expression, such as ""Prefectural Office Ave.,"" a Location EXpression (LEX), and a location to which a LEX points, such as <Prefectural Office Ave. (Okinawa)>, a Location Entity (LE), which is linked to its GIS information. We calla LEX linked to multiple LEs an ambiguous LEX, which is the target of our location name disambiguation system. That is unambiguous LEXs are not our target, such as ""Tokyo Tower,"" which points the LE <Tokyo Tower>.We define a set of LEXs and LEs on the basis of Japanese Wikipedia. Training data for the location classifiers are created from tweets containing GPS information. The resulting location classifiers can be applied to LEXs in any tweets or documents without GPS information.Our novel contributions can be summarized as follows:• two novel clues for location disambiguation are proposed, • training data is automatically created from tweets with GPS information, and • our method can identify LEs of LEXs in any documents without GPS information.The remainder of this paper is organized as follows. Section 2 introduces related work, while Section 3 describes the resources used in this paper. Section 4 details our proposed method and Section 5 reports the experimental results. Section 6 concludes the paper.",,
Conclusion:,,
"In this paper, we presented a method for location name disambiguation for text snippets on SNS. We considered both the spatial proximity and temporal consistency to produce the estimates of LEs. As a result, our method substantially outperformed the baseline method that considers only lexical information. More specifically:• Considering the spatial proximity improves the accuracy• Considering the temporal consistency with many tweets improves the accuracy• Considering both of the above outperforms the baseline by 7.13%In future work, first, we plan to further investigate the cause of the decrease inaccuracy when the temporal consistency feature considers many tweets.Second, in this paper, only tweets including unambiguous LEXs are used to calculate the proximity feature for the target LEX. However, tweets including ambiguous LEXs could also be used if the LEXs have been disambiguated in advance.In addition, we estimated the LEs of ambiguous LEXs, although the location estimation has several problems. One concerns whether the user posting the tweet including the LEX is actually at that location. Solving this problem is necessary for some applications specializing in GIS information. In future work, we aim to solve this problem using the proposed spatial proximity and temporal consistency.",,
,,
Title 1: Location Disambiguation Using Spatial Clustering and Temporal Consistency,2,clustering is hallucinated
Title 2: Location Disambiguation Using Spatial and Temporal Clues,,
,,
,,
ID: 1109,,
Abstract:,,
"Collection of natural language texts in to a machine readable format for investigating various linguistic phenomenons is calla corpus. A well structured corpus can help to know how people used that language in day-today life and to build an intelligent system that can understand natural language texts. Here we review our experience with building a corpus containing 1.5 million words of Bodo language. Bodo is a Sino Tibetan family language mainly spoken in Northern parts of Assam, the North Eastern state of India. We try to improve the quality of Bodo corpora considering various characteristics like representativeness, machine readability, finite size etc. Since Bodo is one of the Indian language which is lesser reach on literary and computationally we face big problem on collecting data and our generated corpus will help the researchers in both field.",,
Introduction:,,
"The term corpus is derived from Latin corpus ""body"" which it means as a representative collection of texts of a given language, dialect or other subset of a language to be used for linguistic analysis. Precisely, it refers to (a) (loosely) anybody of text; (b) (most commonly) a body of machine readable text; and (c) (more strictly) a finite collection of machine-readable texts sampled to be representative of a language or variety. Again, Corpus is a machine readable texts (both spoken and written) document stored in machine systematically collected from different sources. It is an important text in digital media world. It is defined as corpus and in plural corpora a collection of linguistic data, either compiled as written texts or as a transcription of recorded speech. The main purpose of a corpus is to verify a hypothesis about language -for example, to determine how the usage of a particular sound, word, or syntactic construction varies. Corpus linguistics deals with the principles and practice of using corpora in language study. A computer corpus is a large body of machine-readable texts . So it is the computerization of varieties text (various domains of texts such as literature, science, sports etc.) of a given language. Corpus maybe of monolingual, bilingual and multilingual format of machine readable data etc. It is an annotated and tagged component of parts of speech. It is most important for computing to make it accessible worldwide via internet. Moreover it is a valid machine readable data of a given language which gives us proper information of a language where it follows linguistics principles. The need of language corpora has given rise to the study of corpus linguistics. It is not a branch of linguistics but the methodology that helps in analysis and research of naturally occurring language through the help of computerized corpora, i.e. with the specialized software. From the very beginning, modern corpus linguistics has been closely associated with the development of computer software for corpus analysis. In modern corpus linguistics, the linguists and the computer scientists share a common goal that it is important to depend on the real or actual language data (speech or written) for carrying out any kind of linguistic analysis. Moreover, it is an approach which satisfies two main purposes: how people use language in day-to-day communication and to buildup intelligent system to interact with human beings. It is not easy to classify corpora into various types. Modern day corpora are of various types. In fact, it is a very crucial task of classifying language corpora into different types. However, written corpus, spoken corpus, general corpus, monolingual corpus, bilingual corpus, unannotated corpus, annotated corpus, parallel and learner corpus are worth mentioning.",,
Conclusion:,,
"It is seen from the above discussion that there is no developed fonts in Bodo. Due to in-uniformity of spelling the compiler of the corpus has to face several problems while entering the text into the format. In such cases they have to correct themselves. There is no science and sentimental fictions in Bodo and in some fields like journals like women's, children's, whether it is monthlies, bi-monthlies and news papers whether it is dailies, weeklies etc are very rare. The entire generation of Bodo corpus is based the standardization of trio-lingual (a Bodo-English-Hindi) dictionary of Bodo Sahitya Sabha published by Onsumwi Library, Kokrajhar, Assam in some cases and linguistics standardization is also followed. Validation of this generation corpus is done manually as this language does not have still tagged corpus and annotated texts.",,
,,
Title 1: Building a Bodo Corpus for Linguistic Analysis,1,phenomenons is not grammatical (taken from the abstract)
Title 2: Building a corpus of Bodo language for studying linguistic phenomenons,,
,,
,,
ID: 1418,,
Abstract:,,
"Texts from the Internet serve as important data sources for financial market modeling. Early statistical approaches rely on manually defined features to capture lexical, sentiment and event information, which suffers from feature sparsity. Recent work has considered learning dense representations for news titles and abstracts. Compared to news titles, full documents can contain more potentially helpful information, but also noise compared to events and sentences, which has been less investigated in previous work. To fill this gap, we propose a novel target-specific abstract-guided news document representation model. The model uses a target-sensitive representation of the news abstract to weigh sentences in the news content, so as to select and combine the most informative sentences for market modeling. Results show that document representations can give better performance for estimating cumulative abnormal returns of companies when compared to titles and abstracts. Our model is especially effective when it used to combine information from multiple document sources compared to the sentence-level baselines.",,
Introduction:,,
"Texts from the Internet was shown to be statistically correlated with stock market trends (). Natural language processing (NLP) techniques have been applied to extract information from company filings (), financial news articles () and social media texts) in order to gain understandings of financial markets. In particular, traditional methods exploited statistical signals, such as lexical and syntactic features (), sentiment) and event structures () from these text sources, which suffers from feature sparsity problems.With the recent trends in deep learning for NLP, neural networks have also been leveraged to learn dense representations for text elements, which can address the sparsity of discrete features in statistical models. Such representations can implicitly represent sentiment, event and factual information, which can be extremely challenging for sparse indicator features. In particular, show that deep learning representations of event structures yield better accuracies for stock market prediction compared to discrete event features., use neural networks to directly learn representations of news abstracts, showing that it is effective for predicting the cumulative abnormal returns of public companies.One limitation of and, however, is that these methods only model news titles and abstract texts, which are typically single sentences. show that a model that uses only news content gives inferior results compared to one trained using news titles only, and that adding news content information to a title-driven model does not significantly improve the results. Intuitively, news content can contain richer information that is not directly relevant to the title message, or the most important event, and hence can lead to noise in predictive modeling. On the other hand, news content can also contain useful information for making informed decisions. For example, given the news abstract passage ""Amicus Inc (arcs.o), a provider of health-care IT services, said it agreed to be bought by an affiliate of private firm them bravo llc for $217 million in an all-crash deal."", it would be difficult to tell whether the acquisition is beneficial to investors. However, a sentence in the news content states that ""the deal offers Amicus Inc shareholders $5.35 for each share, a premium of 21 percent over the stock's close on December 24 on NASDAQ"", which explicitly indicates a positive return.We aim to exploit such useful information from the news content for making more informed decisions in stock market prediction. A main challenge is how to automatically identify the most useful parts of the news content, while disregarding noise, which prevents naive utilization of news contexts (aka). Another challenge, as suggest, is that information must be selected with regard to a certain stock of interest. As shown in, the same event ""Salesforce rules out Twitter bid"" can lead to different influences on different stocks, with Salesforce benefiting from it yet Twitter suffering from it.To address the above challenges, we build a neural model that selects and represents relevant sentences from a full news document with respect to a specific firm of interest. In particular, we leverage conditional encoding to encode information of a given stock into the dense representation of the news abstract. Using this target-specific news abstract representation, we apply neural attention () over each sentence in the news content to automatically learn its relative importance with regard to the target company. The attention weights are learned automatically towards a final predictive goal. The model is full data-driven, which do not rely on an external syntactic parser as the first step to obtain its target-specific linguistic structures.In addition to model, which uses only abstract information, we also compare with several state-of-the-art baselines for learning document representations, such as paragraph vector) and hierarchical attention network (, giving the best reported performances. The advantage of our approach over sentence-level baseline is especially obvious when it is used to combine information from multiple news document sources. In addition, a case study shows that our model can select the sentences that most intuitively help predict stock returns from a full news document. Our contributions can be summarized as follows:• We propose a target-specific document representation model, which leverages the abstracts as evidences to select informative sentences from the documents while disregarding noise.• We are the first, to our knowledge, to build a neural model that can effectively leverage full news document for stock market prediction.Resources of this work can be found at http://github.com/sudy/coling20182 Problem Definition Cumulative Abnormal Return The task that we attack in this paper is Cumulative Abnormal Return Prediction (CAR). Formally, the abnormal return AR jt of a firm j on a date t is the difference between its actual return R jt and the expected returnˆRreturnˆ returnˆR jt , AR jt = R jt − ˆ R jt . The expected returnˆRreturnˆ returnˆR jt can be estimated by an asset price model based on historical prices, or approximated by the market return in a short-term event window (). Given a document D and associated firm f , we learn a representation d f for D that is specified to firm f based on our proposed approach (introduced in Section 3). With the firm-specific document representation d f , we predict the CAR 3 direction y ∈ {−1, 1} using a parameterized softmax function (Eq 2).where p(y = −1|d f ) and p(y = 1|d f ) indicate the probability of CAR 3 being negative and positive, respectively. In the next section, we describe our method for learning d f .",,
Conclusion:,,
"We investigated target-specific document representations of financial news for cumulative abnormal return prediction in this paper, comparing a set of document embedding models. Empirical studies showed that a combination of target-specific news abstract representation and contextual sentence representation via the attention mechanism can give better results compared to several alternative sentence-level and document-level methods. Our final model demonstrated the usefulness of modeling a full document, as compared to only titles and abstracts, for obtaining more accurate results.",,
,,
Title 1: A Target-Specific Abstract-Guided News Document Representation for Financial Market Modeling,2,last sentence of introduction helps
Title 2: A Target-Specific Abstract-Guided News Document Representation Model for Stock Market Prediction,,
,,
,,
ID: 1,,
Abstract:,,
"Opinion mining is often regarded as a classification or segmentation task, involving the prediction of i) subjective expressions, ii) their target and iii) their polarity. Intuitively , these three variables are bidirec-tionally interdependent, but most work has either attempted to predict them in isolation or proposing pipeline-based approaches that cannot model the bidirectional interaction between these variables. Towards better understanding the interaction between these variables, we propose a model that allows for analyzing the relation of target and subjective phrases in both directions, thus providing an upper bound for the impact of a joint model in comparison to a pipeline model. We report results on two public datasets (cameras and cars), showing that our model outperforms state-of-the-art models, as well as on anew dataset consisting of Twitter posts.",,
Introduction:,,
"Sentiment analysis or opinion mining is the task of identifying subjective statements about products, their polarity (e. g. positive, negative or neutral) in addition to the particular aspect or feature of the entity that is under discussion, i. e., the socalled target. Opinion analysis is thus typically approached as a classification) or segmentation ( task by which fragments of the input are classified or labelled as representing a subjective phrase, a polarity or a target (. However, such pipeline models do not allow for inclusion of bidirectional interactions between the key variables. In this paper, we propose a model that can include bidirectional dependencies, attempting to answer the following questions which so far have not been addressed but provide the basis fora joint model:• What is the impact of the performance loss of a non-perfect subjective term extraction in comparison to perfect knowledge? • Further, how does perfect knowledge about targets influence the prediction of subjective terms? • How is the latter affected if the knowledge about targets is imperfect, i. e. predicted by a learned model?We study these questions using imperatively defined factor graphs (IDFs,,) to show how these bidirectional dependencies can be modeled in an architecture which allows for further steps towards joint inference. IDFs area convenient way to define probabilistic graphical models that make structured predictions based on complex dependencies.",,
Conclusion:,,
We have presented an NLG system that can generate ecologically informative and engaging narratives of animal (red kite) movements. Our initial evaluations have shown encouraging results and further evaluations are now planned. The system can be accessed through http://redkite.abdn.ac.uk/blog/. This week Millie did not travel far but was actively exploring a small area north-east of Loch Ness. Friday morning Millie left the woodland where she spend the night to fly to Loch Ruthven amid heavy rain. The poor visibility may have driven her to fly low when searching for food along the water sides. Early that evening she was seen in farmland near Torness.,,
,,
Title 1: A Joint Model for Bidirectional Interaction between Target and Subjective Phrases in Opinion Mining,1,2 is non-grammatical or at least undesirably repetitive
"Title 2: A Joint Model for Bidirectional Interaction between Subjective, Target and Subjective Expressions in Opinion Mining",,
,,
,,
ID: 18,,
Abstract:,,
"We present a novel translation model based on tree-to-string alignment template (TAT) which describes the alignment between a source parse tree and a target string. A TAT is capable of generating both terminals and non-terminals and performing reordering at both low and high levels. The model is linguistically syntax-based because TATs are extracted automatically from word-aligned, source side parsed parallel texts. To translate a source sentence, we first employ a parser to produce a source parse tree and then apply TATs to transform the tree into a target string. Our experiments show that the TAT-based model significantly outper-forms Pharaoh, a state-of-the-art decoder for phrase-based models.",,
Introduction:,,
"Phrase-based translation models (), which go beyond the original IBM translation models 1 by modeling translations of phrases rather than individual words, have been suggested to be the state-of-theart in statistical machine translation by empirical evaluations.In phrase-based models, phrases are usually strings of adjacent words instead of syntactic constituents, excelling at capturing local reordering and performing translations that are localized to The mathematical notation we use in this paper is taken from that paper: a source string f J 1 = f1, . . , fJ is to be translated into a target string e I 1 = e1, . . , eI . Here, I is the length of the target string, and J is the length of the source string.substrings that are common enough to be observed on training data. However, a key limitation of phrase-based models is that they fail to model reordering at the phrase level robustly. Typically, phrase reordering is modeled in terms of offset positions at the word level), making little or no direct use of syntactic information.Recent research on statistical machine translation has lead to the development of syntax-based models. proposes Inversion Transduction Grammars, treating translation as a process of parallel parsing of the source and target language via a synchronized grammar. represent each production in parallel dependency tree as a finite transducer. formalizes machine translation problem as synchronous parsing based on multitext grammars. describe training and decoding algorithms for both generalized tree-to-tree and tree-to-string transducers. presents a hierarchical phrasebased model that uses hierarchical phrase pairs, which are formally productions of asynchronous context-free grammar. propose a syntax-based translation model based on a probabilistic synchronous dependency insert grammar, aversion of synchronous grammars defined on dependency trees. All these approaches, though different in formalism, make use of synchronous grammars or tree-based transduction rules to model both source and target languages.Another class of approaches make use of syntactic information in the target language alone, treating the translation problem as a parsing problem. use a parser in the target language to train probabilities on a set of operations that transform a target parse tree into a source string.Paying more attention to source language analysis, employ a source language dependency parser, a target language word segmentation component, and an unsupervised word alignment component to learn treelet translations from parallel corpus.In this paper, we propose a statistical translation model based on tree-to-string alignment template which describes the alignment between a source parse tree and a target string. To translate a source sentence, we first employ a parser to produce a source parse tree and then apply TATs to transform the tree into a target string.One advantage of our model is that TATs can be automatically acquired to capture linguistically motivated reordering at both low (word) and high (phrase, clause) levels. In addition, the training of TAT-based model is less computationally expensive than tree-to-tree models. Similarly to (), the tree-to-string alignment templates discussed in this paper are actually transformation rules. The major difference is that we model the syntax of the source language instead of the target side. As a result, the task of our decoder is to find the best target string while Galley's is to seek the most likely target tree.",,
Conclusion:,,
"In this paper, we introduce tree-to-string alignment templates, which can be automatically learned from syntactically-annotated training data. The TAT-based translation model improves translation quality significantly compared with a stateof-the-art phrase-based decoder. Treated as special TATs without tree on the source side, bilingual phrases can be utilized for the TAT-based model to get further improvement.It should be emphasized that the restrictions we impose on TAT extraction limit the expressive power of TAT. Preliminary experiments reveal that removing these restrictions does improve translation quality, but leads to large memory requirements. We feel that both parsing and word alignment qualities have important effects on the TATbased model. We will retrain the Chinese parser on Penn Chinese Treebank version 5.0 and try to improve word alignment quality using log-linear models as suggested in ( ).",,
,,
Title 1: Tree-to-String Alignment Template for Statistical Machine Translation,1,"Even though ""2"" could be seen as ""more correct English"", in a scientific context, I slightly prefer ""1"""
Title 2: A Tree-to-string Alignment Template for Machine Translation,,
,,
,,
ID: 671,,
Abstract:,,
"In this paper, we propose anew methodology based on directed graphs and the TextRank algorithm to automatically induce general-specific noun relations from web corpora frequency counts. Different asymmetric association measures are implemented to build the graphs upon which the TextRank algorithm is applied and produces an ordered list of nouns from the most general to the most specific. Experiments are conducted based on the WordNet noun hierarchy and assess 65.69% of correct word ordering.",,
Introduction:,,
"Taxonomies are crucial for any knowledgebased system. They are in fact important because they allow to structure information, thus fostering their search and reuse. However, it is well known that any knowledge-based system suffers from the so-called knowledge acquisition bottleneck, i.e. the difficulty to actually model the domain in question. As stated in, WordNet has been an important lexical knowledge base, but it is insufficient for domain specific texts. Most of the works proposed so far have (1) used predefined patterns or (2) automatically learned these patterns to identify hypernym/hyponym relationships. From the first paradigm, first identifies a set of lexico-syntactic patterns that are easily recognizable i.e. occur frequently and across text genre boundaries. These can be called seed patterns. Based on these seeds, she proposes a bootstrapping algorithm to semi-automatically acquire new more specific patterns. Similarly,) uses predefined patterns such as ""X is a kind of Y"" or ""X, Y, and other Zs"" to identify hypernym/hyponym relationships. This approach to information extraction is based on a technique called selective concept extraction as defined by. Selective concept extraction is a form of text skimming that selectively processes relevant text while effectively ignoring surrounding text that is thought to be irrelevant to the domain. A more challenging task is to automatically learn the relevant patterns for the hypernym/hyponym relationships. In the context of pattern extraction, there exist many approaches as summarized in). The most well-known work in this area is certainly the one proposed by ) who use machine learning techniques to automatically replace hand-built knowledge. By using dependency path features extracted from parse trees, they introduce a general-purpose formalization and generalization of these patterns. Given a training set of text containing known hypernym pairs, their algorithm automatically extracts useful dependency paths and applies them to new corpora to identify novel pairs. () use a similar way as () to derive extraction patterns for hypernym/hyponym relationships by using web search engine counts from pairs of words encountered in WordNet. However, the most interesting work is certainly proposed by) who extract patterns in two steps. First, they find lexical relationships between synonym pairs based on snippets counts and apply wildcards to generalize the acquired knowledge. Then, they apply a SVM classifier to determine whether anew pair shows a relation of synonymy or not, based on a feature vector of lexical relationships. This technique could be applied to hypernym/hyponym relationships although the authors do not mention it. On the one hand, links between words that result from manual or semi-automatic acquisition of relevant predicative or discursive patterns) are fine and accurate, but the acquisition of these patterns is a tedious task that requires substantial manual work. On the other hand, works done by) have proposed methodologies to automatically acquire these patterns mostly based on supervised learning to leverage manual work. However, training sets still need to be built. Unlike other approaches, we propose an unsupervised methodology which aims at discovering general-specific noun relationships which can be assimilated to hypernym/hyponym relationships detection 2 . The advantages of this approach are clear as it can be applied to any language or any domain without any previous knowledge, based on a simple assumption: specific words tend to attract general words with more strength than the opposite. state: ""there is a tendency fora strong forward association from a specific term like adenocarcinoma to the more general term cancer, whereas the association from cancer to adenocarcinoma is weak"". Based on this assumption, we propose a methodology based on directed graphs and the TextRank algorithm () to automatically induce general-specific noun relationships from web corpora frequency counts. Indeed, asymmetry in Natural Language Processing can be seen as a possible reason for the degree of generality of terms (. So, different asymmetric association measures are implemented to build the graphs upon which the TextRank algorithm is applied and produces an ordered list of nouns, from the most general to the most specific. Experiments have been conducted based on the WordNet noun hierarchy and assessed that 65% of the words are ordered correctly.",,
Conclusion:,,
"In this paper, we proposed anew methodology based on directed weighted/unweighted graphs and the TextRank algorithm to automatically in- Finalized by duce general-specific noun relationships from web corpora frequency counts. To our knowledge, such an unsupervised experiment has never been attempted so far. In order to evaluate our results, we proposed three different evaluation metrics. The results obtained by using seven asymmetric association measures based on web frequency counts showed promising results reaching levels of (1) constraint coherence of 65.69%, (2) clustering mapping of 59.50% in terms of precision for the hypernym level and 42.72% on average in terms of f-measure and ranking similarity of 0.39 for the Spearman's rank correlation coefficient. As future work, we intend to take advantage of the good performance of our approach at the hypernym level to propose a recursive process to improve precision results overall levels of generality. Finally, it is important to notice that the evaluation by clustering evidences more than a simple evaluation of the word order, but shows how this approach is capable to automatically map clusters to WordNet classification.",,
,,
Title 1: Automatic Induction of General-Specific Noun Relationships from Web Corpora,2,"Hard to decide for me, but 2 (verb) looks more modern"
Title 2: Automatically Inducing General-Specific Noun Relations from Web Corpora,,
,,
,,
ID: 2231,,
Abstract:,,
"We address the problem dealing with a large collection of data, and investigate the use of automatically constructing category hierarchy from a given set of categories to improve classification of large corpora. We use two well-known techniques, partitioning clustering, 񮽙-means and a ÐÓ×× ÙÒÒØØÓÒ to create category hierarchy. 񮽙-means is to cluster the given categories in a hierarchy. To select the proper number of 񮽙, we use a ÐÓ×× ÙÒÒØØÓÒ which measures the degree of our disappointment in any differences between the true distribution over inputs and the learner's prediction. Once the optimal number of 񮽙 is selected, for each cluster , the procedure is repeated. Our evaluation using the 1996 Reuters corpus which consists of 806,791 documents shows that automatically constructing hierarchy improves classification accuracy.",,
Introduction:,,
"Text classification has an important role to play, especially with the recent explosion of readily available online documents. Much of the previous work on text classification use statistical and machine learning techniques. However, the increasing number of documents and categories often hamper the development of practical classification systems, mainly by statistical, computational, and representational problems). One strategy for solving these problems is to use category hierarchies. The idea behind this is that when humans organize extensive data sets into fine-grained categories, category hierarchies are often employed to make the large collection of categories more manageable.McCallum et. al. presented a method called 'shrinkage' to improve parameter estimates by taking advantage of the hierarchy). They tested their method using three different real-world datasets: 20,000 articles from the UseNet, 6,440 web pages from the Industry Sector, and 14,831 pages from the Yahoo, and showed improved performance. Dumais et. al. also described a method for hierarchical classification of Web content consisting of 50,078 Web pages for training, and 10,024 for testing, with promising results). Both of them use hierarchies which are manually constructed. Such hierarchies are costly human intervention, since the number of categories and the size of the target corpora are usually very large. Further, manually constructed hierarchies are very general in order to meet the needs of a large number of forthcoming accessible source of text data, and sometimes constructed by relying on human intuition. Therefore, it is difficult to keep consistency, and thus, problematic for classifying text automatically.In this paper, we address the problem dealing with a large collection of data, and propose a method to generate category hierarchy for text classification. Our method uses two well-known techniques, partitioning clustering method called 񮽙-means and a ÐÓ×× ÙÒÒØØÓÒ to create hierarchical structure. 񮽙-means partitions a set of given categories into 񮽙 clusters, locally minimizing the average squared distance between the data points and the cluster centers. The algorithm involves iterating through the data that the system is permitted to classify during each iteration and constructs category hierarchy. To select the proper number of 񮽙 during each iteration, we use a ÐÓ×× ÙÒÒØØÓÒ which measures the degree of our disappointment in any differences between the true distribution over inputs and the learner's prediction. Another focus of this paper is whether or not a large collection of data, the 1996 Reuters corpus helps to generate a category hierarchy which is used to classify documents.The rest of the paper is organized as follows. The next section presents a brief review the earlier work. We then explain the basic framework for constructing category hierarchy, and describe hierarchical classification. Finally, we report some experiments using the 1996 Reuters corpus with a discussion of evaluation.",,
Conclusion:,,
"We proposed a method for generating category hierarchy in order to improve text classification performance. We used 񮽙-means and a ÐÓ×× ÙÒÒØØÓÒ which is derived from NB classifiers. We found small advantages in the F-score for automatically generated hierarchy, compared with a baseline flat non-hierarchy and that of manually constructed hierarchy from large training samples. We have also shown that our method can benefit significantly from less training samples. Future work includes (i) extracting features which discriminate between categories within the same cluster with low F-score, (ii) using other machine learning techniques to obtain further advantages in efficiency in dealing with a large collection of data, (iii) comparing the method with other techniques such as hierarchical agglomerative clustering and 'X-means'), and (iv) developing evaluation method between manual and automatic construction of hierarchies to learn more about the strengths and weaknesses of the two methods of classifying documents.",,
,,
Title 1: Automatic Construction of Category Hierarchy for Improved Classification of Large Corpora,2,Text classification is the crucial and (well-knownI keyword missing from the abstract
Title 2: Automatic Construction of Category Hierarchy for Text Classification,,
,,
,,
ID: 2134,,
Abstract:,,
"In this paper, we describe our system which participated in the SemEval 2010 task of disambiguating sentiment ambiguous adjectives for Chinese. Our system uses text messages from Twitter, a popular microblogging platform, for building a dataset of emotional texts. Using the built dataset, the system classifies the meaning of adjectives into positive or negative sentiment polarity according to the given context. Our approach is fully automatic. It does not require any additional hand-built language resources and it is language independent .",,
Introduction:,,
